timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782220410.684","-0.61","-1.65",,,
"1782220410.694","-0.61","-1.65",,,
"1782220410.697","-0.67","-1.65",,,
"1782220410.708","-0.67","-1.65",,,
"1782220410.722","-0.79","-1.47",,,
"1782220410.725","-0.55","-1.59",,,
"1782220410.735",,"-1.59",,,
"1782220410.736","-0.55",,,,
"1782220410.744",,"-1.65",,,
"1782220410.745","-0.61",,,,
"1782220410.754","-0.67","-1.53",,,
"1782220410.765","-0.67","-1.53",,,
"1782220410.768","-0.49","-1.59",,,
"1782220410.779","-0.49","-1.59",,,
"1782220410.792","-0.55","-1.34",,,
"1782220410.796","-0.79","-1.53",,,
"1782220410.806","-0.79","-1.53",,,
"1782220410.809","-0.61","-1.34",,,
"1782220410.824","-0.67","-1.53",,,
"1782220410.834",,"-1.53",,,
"1782220410.835","-0.67",,,,
"1782220410.838","-0.67","-1.28",,,
"1782220410.849","-0.67","-1.28",,,
"1782220410.863","-0.79","-1.53",,,
"1782220410.866","-0.79","-1.65",,,
"1782220410.877","-0.79","-1.65",,,
"1782220410.881","-0.61","-1.47",,,
"1782220410.891","-0.61","-1.47",,,
"1782220410.894","-0.73","-1.53",,,
"1782220410.905","-0.73","-1.53",,,
"1782220410.908","-0.67","-1.53",,,
"1782220410.921",,"-1.53",,,
"1782220410.922","-0.67",,,,
"1782220410.937","-0.55","-1.65",,,
"1782220410.938","-0.73",,,,
"1782220410.954","-0.67","-1.4",,,
"1782220410.961","-0.67","-1.4",,,
"1782220410.964",,"-1.34",,,
"1782220410.965","-0.67",,,,
"1782220410.975","-0.67","-1.34",,,
"1782220410.979","-0.55","-1.47",,,
"1782220410.99","-0.55","-1.47",,,
"1782220411.003",,"-1.59",,,
"1782220411.004","-0.61",,,,
"1782220411.009","-0.43","-1.59",,,
"1782220411.017","-0.43","-1.59",,,
"1782220411.02",,"-1.65",,,
"1782220411.021","-0.85",,,,
"1782220411.039","-0.61","-1.4",,,
"1782220411.05","-0.61","-1.4",,,
"1782220411.051","-0.73","-1.65",,,
"1782220411.06","-0.73","-1.65",,,
"1782220411.074","-0.61","-1.53",,,
"1782220411.077","-0.79","-1.53",,,
